iter	Passed	Remaining
412	3315	4712
413	3318	4696
414	3321	4682
415	3325	4668
416	3329	4654
417	3332	4640
418	3335	4625
419	3342	4615
420	3346	4602
421	3349	4587
422	3351	4572
423	3357	4561
424	3361	4547
425	3363	4532
426	3366	4517
427	3373	4508
428	3376	4493
429	3378	4478
430	3381	4464
431	3389	4456
432	3392	4442
433	3395	4427
434	3401	4418
435	3405	4405
436	3409	4393
437	3419	4387
438	3422	4373
439	3426	4361
440	3436	4356
441	3440	4342
442	3446	4333
443	3451	4321
444	3453	4307
445	3456	4293
446	3463	4284
447	3465	4270
448	3468	4256
449	3471	4242
450	3477	4233
451	3480	4219
452	3482	4205
453	3485	4191
454	3491	4181
455	3494	4169
456	3497	4155
457	3500	4141
458	3505	4131
459	3509	4119
460	3511	4105
461	3514	4093
462	3520	4083
463	3524	4071
464	3527	4058
465	3530	4045
466	3538	4038
467	3541	4025
468	3543	4012
469	3547	4000
470	3551	3988
471	3554	3975
472	3558	3964
473	3567	3958
474	3571	3947
475	3574	3934
476	3580	3925
477	3583	3913
478	3586	3900
479	3588	3887
480	3594	3878
481	3598	3866
482	3600	3854
483	3603	3841
484	3608	3832
485	3612	3820
486	3615	3808
487	3618	3796
488	3628	3791
489	3631	3779
490	3633	3766
491	3640	3759
492	3643	3747
493	3646	3735
494	3649	3722
495	3655	3714
496	3658	3702
497	3661	3690
498	3664	3679
499	3670	3670
500	3673	3658
501	3676	3646
502	3681	3638
503	3685	3627
504	3688	3615
505	3691	3603
506	3698	3596
507	3702	3586
508	3705	3574
509	3715	3569
510	3718	3558
511	3721	3547
512	3734	3545
513	3737	3534
514	3744	3526
515	3749	3516
516	3751	3505
517	3762	3501
518	3765	3490
519	3768	3478
520	3776	3471
521	3780	3462
522	3787	3454
523	3809	3460
524	3815	3452
525	3821	3443
526	3833	3440
527	3842	3434
528	3854	3432
529	3859	3422
530	3880	3427
531	3885	3418
532	3899	3416
533	3908	3411
534	3912	3400
535	3916	3390
536	3924	3383
537	3929	3374
538	3937	3367
539	3955	3369
540	3958	3358
541	3968	3353
542	3970	3342
543	3974	3331
544	3982	3325
545	3985	3314
546	3988	3303
547	4002	3301
548	4005	3290
549	4015	3285
550	4018	3274
551	4027	3268
552	4031	3258
553	4034	3247
554	4044	3242
555	4048	3233
556	4055	3225
557	4061	3216
558	4063	3205
559	4075	3202
560	4079	3192
561	4088	3186
562	4092	3176
563	4095	3166
564	4107	3162
565	4111	3152
566	4120	3146
567	4123	3136
568	4127	3126
569	4132	3117
570	4136	3107
571	4144	3101
572	4147	3090
573	4157	3085
574	4162	3076
575	4165	3066
576	4174	3060
577	4179	3051
578	4188	3045
579	4192	3035
580	4195	3025
581	4205	3020
582	4210	3011
583	4217	3004
584	4221	2994
585	4226	2985
586	4235	2979
587	4238	2970
588	4241	2959
589	4250	2954
590	4254	2944
591	4257	2934
592	4264	2926
593	4268	2917
594	4270	2907
595	4277	2899
596	4281	2890
597	4284	2880
598	4289	2871
599	4292	2861
600	4296	2852
601	4299	2842
602	4302	2832
603	4306	2823
604	4309	2813
605	4312	2803
606	4315	2793
607	4319	2785
608	4323	2775
609	4325	2765
610	4328	2755
611	4332	2746
612	4349	2745
613	4355	2738
614	4365	2733
615	4369	2724
616	4373	2714
617	4379	2706
618	4382	2697
619	4386	2688
620	4390	2679
621	4395	2670
622	4398	2661
623	4401	2652
624	4405	2643
625	4410	2634
626	4412	2625
627	4415	2615
628	4417	2605
629	4422	2597
630	4425	2587
631	4427	2578
632	4430	2568
633	4436	2560
634	4439	2551
635	4442	2542
636	4444	2533
637	4450	2525
638	4453	2515
639	4455	2506
640	4458	2496
641	4461	2487
642	4465	2479
643	4468	2470
644	4471	2461
645	4474	2452
646	4480	2444
647	4484	2436
648	4487	2427
649	4496	2421
650	4499	2412
651	4502	2403
652	4504	2393
653	4508	2385
654	4511	2376
655	4515	2367
656	4520	2359
657	4525	2352
658	4527	2342
659	4530	2333
660	4534	2325
661	4540	2318
662	4544	2309
663	4549	2302
664	4559	2296
665	4565	2289
666	4572	2282
667	4575	2274
668	4582	2267
669	4587	2259
670	4600	2255
671	4603	2246
672	4611	2240
673	4616	2232
674	4624	2226
675	4631	2219
676	4634	2211
677	4642	2205
678	4646	2196
679	4656	2191
680	4662	2183
681	4673	2179
682	4676	2170
683	4686	2165
684	4690	2157
685	4699	2151
686	4704	2143
687	4708	2135
688	4719	2130
689	4799	2156
690	4814	2152
691	4820	2145
692	4832	2140
693	4865	2145
694	4875	2139
695	4880	2131
696	4897	2129
697	4904	2121
698	4910	2114
699	4920	2108
700	4930	2103
701	4935	2095
702	4943	2088
703	4948	2080
704	4952	2072
705	4959	2065
706	4963	2056
707	4972	2050
708	4993	2049
709	5010	2046
710	5020	2040
711	5025	2032
712	5033	2026
713	5052	2023
714	5073	2022
715	5082	2016
716	5086	2007
717	5090	1999
718	5106	1995
719	5122	1992
720	5185	2006
721	5199	2001
722	5208	1995
723	5217	1989
724	5242	1988
725	5248	1980
726	5263	1976
727	5280	1972
728	5290	1966
729	5294	1958
730	5298	1949
731	5309	1944
732	5342	1945
733	5347	1937
734	5355	1930
735	5359	1922
736	5374	1917
737	5378	1909
738	5385	1902
739	5421	1904
740	5431	1898
741	5435	1890
742	5447	1884
743	5452	1876
744	5466	1871
745	5512	1877
746	5517	1868
747	5522	1860
748	5524	1851
749	5529	1843
750	5543	1837
751	5551	1830
752	5555	1822
753	5558	1813
754	5570	1807
755	5573	1798
756	5581	1791
757	5599	1787
758	5618	1783
759	5634	1779
760	5650	1774
761	5657	1766
762	5673	1762
763	5676	1753
764	5683	1745
765	5688	1737
766	5699	1731
767	5704	1723
768	5710	1715
769	5714	1706
770	5718	1698
771	5727	1691
772	5731	1683
773	5734	1674
774	5742	1667
775	5745	1658
776	5749	1650
777	5759	1643
778	5763	1635
779	5766	1626
780	5773	1619
781	5778	1610
782	5787	1604
783	5794	1596
784	5797	1587
785	5802	1579
786	5810	1572
787	5816	1564
788	5820	1556
789	5823	1548
790	5826	1539
791	5833	1532
792	5838	1523
793	5840	1515
794	5846	1507
795	5852	1499
796	5861	1492
797	5867	1485
798	5870	1476
799	5874	1468
800	5878	1460
801	5881	1452
802	5884	1443
803	5886	1435
804	5890	1427
805	5894	1418
806	5897	1410
807	5900	1402
808	5903	1393
809	5907	1385
810	5910	1377
811	5913	1369
812	5915	1360
813	5920	1352
814	5923	1344
815	5927	1336
816	5930	1328
817	5939	1321
818	5944	1313
819	5950	1306
820	5954	1298
821	5959	1290
822	5966	1283
823	5969	1275
824	5972	1266
825	5975	1258
826	5981	1251
827	5984	1243
828	5987	1234
829	5989	1226
830	5995	1219
831	5999	1211
832	6002	1203
833	6004	1195
834	6009	1187
835	6013	1179
836	6015	1171
837	6018	1163
838	6021	1155
839	6026	1147
840	6029	1139
841	6032	1132
842	6040	1124
843	6042	1116
844	6045	1108
845	6048	1100
846	6052	1093
847	6055	1085
848	6058	1077
849	6061	1069
850	6064	1061
851	6069	1054
852	6073	1046
853	6077	1039
854	6080	1031
855	6083	1023
856	6086	1015
857	6088	1007
858	6093	1000
859	6096	992
860	6098	984
861	6101	976
862	6103	968
863	6109	961
864	6112	954
865	6115	946
866	6118	938
867	6125	931
868	6128	923
869	6130	916
870	6133	908
871	6138	901
872	6141	893
873	6144	885
874	6146	878
875	6151	870
876	6154	863
877	6157	855
878	6160	847
879	6162	840
880	6167	833
881	6170	825
882	6173	817
883	6175	810
884	6181	803
885	6184	795
886	6187	788
887	6189	780
888	6194	773
889	6198	766
890	6200	758
891	6203	751
892	6205	743
893	6211	736
894	6214	729
895	6217	721
896	6220	714
897	6228	707
898	6231	700
899	6234	692
900	6240	685
901	6243	678
902	6245	670
903	6248	663
904	6251	656
905	6255	648
906	6258	641
907	6261	634
908	6263	627
909	6268	619
910	6271	612
911	6273	605
912	6276	598
913	6278	590
914	6283	583
915	6286	576
916	6289	569
917	6292	562
918	6296	554
919	6300	547
920	6303	540
921	6306	533
922	6313	526
923	6315	519
924	6318	512
925	6321	505
926	6324	498
927	6328	491
928	6331	483
929	6333	476
930	6336	469
931	6341	462
932	6344	455
933	6347	448
934	6349	441
935	6352	434
936	6356	427
937	6359	420
938	6361	413
939	6364	406
940	6367	399
941	6371	392
942	6374	385
943	6377	378
944	6380	371
945	6383	364
946	6386	357
947	6389	350
948	6391	343
949	6397	336
950	6401	329
951	6403	322
952	6406	315
953	6413	309
954	6416	302
955	6419	295
956	6421	288
957	6427	281
958	6429	274
959	6432	268
960	6434	261
961	6438	254
962	6441	247
963	6443	240
964	6446	233
965	6448	226
966	6453	220
967	6456	213
968	6459	206
969	6462	199
970	6464	193
971	6469	186
972	6471	179
973	6474	172
974	6477	166
975	6481	159
976	6485	152
977	6488	145
978	6491	139
979	6496	132
980	6499	125
981	6503	119
982	6505	112
983	6511	105
984	6514	99
985	6516	92
986	6519	85
987	6522	79
988	6527	72
989	6530	65
990	6532	59
991	6535	52
992	6539	46
993	6541	39
994	6544	32
995	6548	26
996	6550	19
997	6555	13
998	6558	6
999	6560	0
